Season,TeamName,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,seed
2024,Connecticut,66.2316,299,64.4531,329,122.708,1,126.609,1,97.6459,27,94.3959,11,32.2129,1,1
2024,Coppin St.,67.2945,254,66.0158,264,85.2819,361,85.6405,361,107.321,242,111.503,289,-25.8623,361,
2024,Cornell,71.4083,43,71.2624,26,112.252,47,113.127,68,104.64,174,106.005,173,7.12141,103,
2024,Creighton,67.9754,213,67.0282,207,116.365,18,120.092,12,100.617,68,96.6927,24,23.3993,11,3
2024,Dartmouth,65.8875,311,65.0319,309,91.9971,354,93.2883,350,111.351,320,110.178,258,-16.8896,333,
2024,Davidson,65.7722,315,65.5257,285,102.699,236,105.577,190,102.04,96,101.304,86,4.27296,125,
2024,Dayton,64.5594,348,64.1751,337,115.089,20,118.604,18,102.217,102,101.307,87,17.2976,32,7
2024,Delaware,67.4355,250,67.3535,177,106.882,142,105.012,203,102.941,119,105.579,160,-0.567441,169,
2024,Delaware St.,69.4739,112,68.4982,110,96.8354,324,95.7384,335,100.489,63,105.78,166,-10.0412,291,
2024,Denver,70.5015,69,70.2852,48,110.253,77,107.856,145,114.13,348,115.544,351,-7.68807,264,
2024,DePaul,68.3562,183,67.5254,164,94.874,340,101.175,267,119.443,362,112.844,319,-11.6687,307,
2024,Detroit Mercy,68.0245,209,66.725,228,96.4591,326,96.7596,326,117.114,358,117.366,357,-20.6064,351,
2024,Drake,68.6721,160,67.8374,150,114.237,25,115.619,38,100.305,62,100.905,75,14.7142,51,10
2024,Drexel,65.3344,331,64.4267,330,108.875,108,108.315,140,101.383,82,104.029,132,4.28608,124,
2024,Duke,67.7309,224,66.677,231,118.229,7,121.828,7,99.4864,41,96.9516,26,24.8766,8,4
2024,Duquesne,66.8316,271,66.3228,251,104.828,190,106.921,166,99.8115,50,97.5502,28,9.37095,86,11
2024,East Carolina,65.5889,322,64.8964,313,103.885,211,104.895,206,106.972,231,107.278,199,-2.38242,190,
